[ 2017-02-22T00:26:17+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-02-22T12:08:42+08:00 ] /robots.txt | INFO: Tag[ view_end ] --START--
[ 2017-02-22T12:08:42+08:00 ] /robots.txt | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:08:42+08:00 ] /robots.txt | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:08:43+08:00 ] / | NOTIC: [2048] Declaration of IndexAction::ajaxreturn() should be compatible with that of Action::ajaxReturn() IndexAction.class.php 第 1060 行.
[ 2017-02-22T12:08:43+08:00 ] / | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.000000s ]
[ 2017-02-22T12:08:43+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 0 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-22T12:08:43+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 1 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-22T12:08:43+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-22T12:08:43+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 3 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.015625s ]
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015625s ]
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:08:43+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | NOTIC: [2048] Declaration of IndexAction::ajaxreturn() should be compatible with that of Action::ajaxReturn() IndexAction.class.php 第 1060 行.
[ 2017-02-22T12:35:59+08:00 ] / | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 0 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 1 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 3 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.015625s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015625s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | NOTIC: [2048] Declaration of IndexAction::ajaxreturn() should be compatible with that of Action::ajaxReturn() IndexAction.class.php 第 1060 行.
[ 2017-02-22T12:35:59+08:00 ] / | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 0 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 1 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 3 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.031250s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031250s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:35:59+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Tag[ route_check ] --START--
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Tag[ view_template ] --START--
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Tag[ view_parse ] --START--
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Tag[ view_filter ] --START--
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Tag[ view_end ] --START--
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T12:36:00+08:00 ] /index_login.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:02:39+08:00 ] / | NOTIC: [2048] Declaration of IndexAction::ajaxreturn() should be compatible with that of Action::ajaxReturn() IndexAction.class.php 第 1060 行.
[ 2017-02-22T13:02:39+08:00 ] / | SQL: SHOW COLUMNS FROM `pay_newlist` [ RunTime:0.000000s ]
[ 2017-02-22T13:02:39+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 0 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-22T13:02:39+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 1 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-22T13:02:39+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 2 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-22T13:02:39+08:00 ] / | SQL: SELECT * FROM `pay_newlist` WHERE type = 3 and zt = 0 ORDER BY datetime desc LIMIT 0,3   [ RunTime:0.000000s ]
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.015625s ]
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.015625s ]
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:02:39+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ route_check ] --START--
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ app_begin ] --START--
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='static/fonts/glyphicons-halflings-regular.woff' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ view_template ] --START--
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ view_parse ] --START--
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run ParseTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ view_parse ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ view_filter ] --START--
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ view_end ] --START--
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:02:41+08:00 ] /static/fonts/glyphicons-halflings-regular.woff | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Tag[ route_check ] --START--
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Tag[ view_template ] --START--
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Tag[ view_parse ] --START--
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Tag[ view_filter ] --START--
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Tag[ view_end ] --START--
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /index_developer4.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Tag[ route_check ] --START--
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Tag[ app_begin ] --START--
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | SQL: SHOW COLUMNS FROM `pay_user` [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | SQL: SELECT `id` FROM `pay_user` WHERE mypayurlname='robots.txt' LIMIT 1   [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Tag[ view_template ] --START--
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Tag[ view_parse ] --START--
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Tag[ view_filter ] --START--
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Tag[ view_end ] --START--
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:13:19+08:00 ] /robots.txt | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Tag[ route_check ] --START--
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Tag[ view_template ] --START--
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Tag[ view_parse ] --START--
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Tag[ view_filter ] --START--
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Tag[ view_end ] --START--
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:14:44+08:00 ] /index_developer7.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:16:01+08:00 ] /index_developer5.html | INFO: Tag[ route_check ] --START--
[ 2017-02-22T13:16:01+08:00 ] /index_developer5.html | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:16:01+08:00 ] /index_developer5.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:16:01+08:00 ] /index_developer5.html | INFO: Tag[ app_begin ] --START--
[ 2017-02-22T13:16:01+08:00 ] /index_developer5.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:16:01+08:00 ] /index_developer5.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:16:01+08:00 ] /index_developer5.html | INFO: Tag[ view_template ] --START--
[ 2017-02-22T13:16:01+08:00 ] /index_developer5.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:16:01+08:00 ] /index_developer5.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2017-02-22T13:16:01+08:00 ] /index_developer5.html | INFO: Tag[ view_parse ] --START--
[ 2017-02-22T13:16:01+08:00 ] /index_developer5.html | INFO: Run ParseTemplate Behavior [ RunTime:0.015625s ]
[ 2017-02-22T13:16:01+08:00 ] /index_developer5.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015625s ]
[ 2017-02-22T13:16:01+08:00 ] /index_developer5.html | INFO: Tag[ view_filter ] --START--
[ 2017-02-22T13:16:01+08:00 ] /index_developer5.html | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:16:01+08:00 ] /index_developer5.html | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2017-02-22T13:16:01+08:00 ] /index_developer5.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
